id,user_id,order_status,order_date
1,19,On its way to you,2022-09-22 21:43:18
2,37,A waiting Logistics patner,2022-09-12 22:22:34
3,45,A waiting Logistics patner,2022-09-22 02:30:29
4,42,Delivered,2022-09-11 09:46:50
5,31,Delivered,2022-09-06 11:42:23
6,33,Filling Boxes,2022-09-15 18:29:51
7,47,Credit Checking,2022-09-18 20:22:05
8,38,On its way to you,2022-09-22 02:10:03
9,13,A waiting Logistics patner,2022-09-06 18:03:37
10,20,Delivered,2022-09-10 09:58:52
11,11,Delivered,2022-09-20 03:40:01
12,22,Filling Boxes,2022-09-17 06:05:00
13,38,A waiting Logistics patner,2022-09-22 13:59:33
14,42,On its way to you,2022-09-12 23:19:31
15,20,A waiting Logistics patner,2022-09-07 12:56:06
16,7,Delivered,2022-09-09 16:58:40
17,21,Credit Checking,2022-09-16 05:31:23
18,36,Payment Completed,2022-09-17 09:53:32
19,35,Delivered,2022-09-15 18:30:44
20,9,Filling Boxes,2022-09-15 19:47:31
21,28,Payment Completed,2022-09-09 05:22:18
22,15,On its way to you,2022-09-11 03:13:35
23,20,A waiting Logistics patner,2022-09-15 20:34:41
24,44,A waiting Logistics patner,2022-09-21 13:46:52
25,44,Filling Boxes,2022-09-19 13:10:24
26,49,Filling Boxes,2022-09-16 12:46:37
27,27,On its way to you,2022-09-15 12:58:54
28,12,A waiting Logistics patner,2022-09-21 01:59:20
29,44,Filling Boxes,2022-09-16 04:13:38
30,38,Credit Checking,2022-09-04 07:31:24
31,20,A waiting Logistics patner,2022-09-19 09:42:24
32,36,Payment Completed,2022-09-16 13:04:23
33,26,On its way to you,2022-09-22 08:22:15
34,25,Delivered,2022-09-01 10:55:49
35,21,A waiting Logistics patner,2022-09-07 07:14:06
36,24,Payment Completed,2022-09-16 14:20:30
37,44,Credit Checking,2022-09-07 07:27:25
38,26,On its way to you,2022-09-03 07:25:23
39,9,On its way to you,2022-09-15 13:19:49
40,31,Credit Checking,2022-09-17 10:45:22
41,11,A waiting Logistics patner,2022-09-12 16:31:13
42,27,Payment Completed,2022-09-02 20:47:41
43,25,Credit Checking,2022-09-11 06:58:01
44,31,Delivered,2022-09-10 03:05:59
45,16,Delivered,2022-09-14 15:42:04
46,32,Payment Completed,2022-09-12 22:41:21
47,5,On its way to you,2022-09-09 16:47:43
48,48,On its way to you,2022-09-04 14:27:14
49,50,Credit Checking,2022-09-22 14:29:55
50,42,Filling Boxes,2022-09-23 08:20:54
51,6,Delivered,2022-09-12 00:47:20
52,50,A waiting Logistics patner,2022-09-10 23:55:20
53,43,A waiting Logistics patner,2022-09-19 06:04:14
54,36,Filling Boxes,2022-09-04 10:44:48
55,12,A waiting Logistics patner,2022-09-20 00:16:08
56,15,Delivered,2022-09-19 16:57:32
57,48,Payment Completed,2022-09-20 02:03:43
58,37,Delivered,2022-09-14 22:25:57
59,3,A waiting Logistics patner,2022-09-20 04:29:51
60,7,On its way to you,2022-09-03 21:39:36
61,11,A waiting Logistics patner,2022-09-06 07:12:55
62,2,A waiting Logistics patner,2022-09-18 22:45:21
63,9,Payment Completed,2022-09-12 23:38:56
64,19,Delivered,2022-09-13 19:20:34
65,27,On its way to you,2022-09-03 15:00:31
66,47,A waiting Logistics patner,2022-09-10 09:46:19
67,3,A waiting Logistics patner,2022-09-20 03:28:41
68,15,Credit Checking,2022-09-10 09:12:28
69,30,Payment Completed,2022-09-12 01:27:01
70,22,Payment Completed,2022-09-12 07:41:28
71,16,Credit Checking,2022-09-03 17:17:41
72,10,Payment Completed,2022-09-07 01:44:20
73,5,Filling Boxes,2022-09-13 20:55:05
74,42,Credit Checking,2022-09-11 09:58:41
75,34,Payment Completed,2022-09-07 11:54:59
76,1,Filling Boxes,2022-09-06 16:28:46
77,35,Payment Completed,2022-09-10 21:32:05
78,41,Payment Completed,2022-09-19 11:11:40
79,1,A waiting Logistics patner,2022-09-05 06:54:24
80,32,Filling Boxes,2022-09-21 18:36:21
81,14,Credit Checking,2022-09-24 22:51:43
82,25,On its way to you,2022-09-10 14:06:14
83,16,Filling Boxes,2022-09-01 22:34:41
84,50,Filling Boxes,2022-09-13 23:21:40
85,8,Filling Boxes,2022-09-18 12:19:23
86,16,Filling Boxes,2022-09-08 11:02:01
87,6,Delivered,2022-09-14 16:49:08
88,41,Payment Completed,2022-09-11 05:52:26
89,3,On its way to you,2022-09-12 08:55:07
90,50,A waiting Logistics patner,2022-09-19 16:22:56
91,33,On its way to you,2022-09-14 22:16:03
92,46,On its way to you,2022-09-01 19:43:21
93,19,Credit Checking,2022-09-20 09:25:45
94,26,A waiting Logistics patner,2022-09-08 11:13:06
95,36,On its way to you,2022-09-16 13:18:15
96,47,Payment Completed,2022-09-06 20:45:33
97,31,A waiting Logistics patner,2022-09-20 06:10:12
98,12,A waiting Logistics patner,2022-09-08 14:17:02
99,26,Delivered,2022-09-14 00:46:05
100,32,Credit Checking,2022-09-02 11:07:15
